,predicted_mean
2019-07-29,33.919995766914795
2019-07-30,34.19591628664022
2019-07-31,34.41839714852294
2019-08-01,34.18384460991857
2019-08-02,33.58062334121946
2019-08-05,32.67863709055281
2019-08-06,31.62108651483122
2019-08-07,30.520199638421616
2019-08-08,29.884259864880562
2019-08-09,29.955372553104212
2019-08-12,30.68497777230482
2019-08-13,31.676168233186687
2019-08-14,32.56628566143293
2019-08-15,33.002165464913226
2019-08-16,32.4930079099629
2019-08-19,31.76557013864158
2019-08-20,31.34575716623972
2019-08-21,31.038836017461165
2019-08-22,31.04611428396035
2019-08-23,31.350251648969774
2019-08-26,31.31238367840443
2019-08-27,31.1028278249575
2019-08-28,30.97846921885028
2019-08-29,30.790938385233574
2019-08-30,30.52575363189564
2019-09-03,30.685327029309065
2019-09-04,30.84137887421855
2019-09-05,31.01008908433232
2019-09-06,31.223915815315934
2019-09-09,31.213456448518627
2019-09-10,31.07455598407708
2019-09-11,31.03222874997539
2019-09-12,30.831301415552986
2019-09-13,30.530956534032413
2019-09-16,30.362593012856678
2019-09-17,30.365690100703148
2019-09-18,30.396009424084298
2019-09-19,30.563795130363303
2019-09-20,30.669844525009523
2019-09-23,30.637785153339365
2019-09-24,30.612403487542394
2019-09-25,30.466750843307636
2019-09-26,30.296951039388603
2019-09-27,30.064115482335694
2019-09-30,29.833928702142714
2019-10-01,29.491826330351955
2019-10-02,29.259221532391138
2019-10-03,29.038776894790317
2019-10-04,28.80190287019252
2019-10-07,28.677943048080692
2019-10-08,28.600731202613787
2019-10-09,28.545063598296366
2019-10-10,28.57253053385398
2019-10-11,28.515616316826026
2019-10-14,28.523049034164274
2019-10-15,28.62908742281246
2019-10-16,29.056163436749557
2019-10-17,29.499459356854402
2019-10-18,30.017558643189943
2019-10-21,30.366668900794878
2019-10-22,30.67306744810017
2019-10-23,31.02267444308299
2019-10-24,31.14936008404098
2019-10-25,31.232526541310307
2019-10-28,31.56347433409468
2019-10-29,31.86890673820598
2019-10-30,32.34539711524478
2019-10-31,32.85934668173865
2019-11-01,33.2901500603429
2019-11-04,33.63342452506585
2019-11-05,34.213262725494126
2019-11-06,34.935195812505526
2019-11-07,35.63594023235597
2019-11-08,36.30504116968693
2019-11-11,36.697130216477106
2019-11-12,36.890168084642895
2019-11-13,37.03698498003624
2019-11-14,37.29939236977056
2019-11-15,37.62278582893842
2019-11-18,38.00901674984226
2019-11-19,38.493042200001014
2019-11-20,39.06366577761577
2019-11-21,39.67492790236736
2019-11-22,40.06914734351011
2019-11-25,40.291383757590694
2019-11-26,40.50683607448377
2019-11-27,40.42510736742415
2019-11-29,39.99318101015393
2019-12-02,39.711744066387354
2019-12-03,39.58302928625869
2019-12-04,39.227082469542296
2019-12-05,39.12033235968798
2019-12-06,39.001609558306825
2019-12-09,38.8507558462683
